event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
e1e02ba8751173d61f05325c,us_core_cpi,2016-10,2016-11-10T13:30:00Z,249.218,,missing
2efb3f7c396aef0f47200310,us_core_cpi,2016-09,2016-10-09T13:30:00Z,248.731,,missing
571c3719cca100f902ddbba2,us_core_cpi,2016-08,2016-09-08T13:30:00Z,248.278,,missing
f2d67e3ebc81e23ef7c4c915,us_core_cpi,2016-07,2016-08-07T13:30:00Z,247.744,,missing
3a6482d4b8449d00f13658e6,us_core_cpi,2016-06,2016-07-06T13:30:00Z,247.794,,missing
ba69dbbc801cf801e6c4ae06,us_core_cpi,2016-05,2016-06-05T13:30:00Z,247.544,,missing
95ac515b6db07f6fe84398b0,us_core_cpi,2016-04,2016-05-04T13:30:00Z,246.992,,missing
cd459d1a709458322e6a7979,us_core_cpi,2016-03,2016-04-03T13:30:00Z,246.358,,missing
d8f41ed093df9d194aec72f5,us_core_cpi,2016-02,2016-03-02T13:30:00Z,245.68,,missing
933ed76a185c0d22dc3c4c07,us_core_cpi,2016-01,2016-02-01T13:30:00Z,244.528,,missing
24fcc56ca7fe30ec244cc60a,us_core_cpi,2015-12,2016-01-12T13:30:00Z,243.779,,missing
c40c7d9fa533a857f57ba193,us_core_cpi,2015-11,2015-12-11T13:30:00Z,244.075,,missing
46718bbe2bbe7243bc8b4a8c,us_core_cpi,2015-10,2015-11-10T13:30:00Z,243.985,,missing
2918d07ca61cf952fa55c448,us_core_cpi,2015-09,2015-10-09T13:30:00Z,243.359,,missing
5f0b32170633eeff3776d62e,us_core_cpi,2015-08,2015-09-08T13:30:00Z,242.651,,missing
895ff118bc9b9b0c1da8ea01,us_core_cpi,2015-07,2015-08-07T13:30:00Z,242.436,,missing
99159ea02caf8e7daebb2023,us_core_cpi,2015-06,2015-07-06T13:30:00Z,242.354,,missing
e818cb49d2967be466790c15,us_core_cpi,2015-05,2015-06-05T13:30:00Z,242.119,,missing
be3a7890cbfb06dc19eddd5c,us_core_cpi,2015-04,2015-05-04T13:30:00Z,241.802,,missing
235e91d8311f64ac2f38098c,us_core_cpi,2015-03,2015-04-03T13:30:00Z,241.067,,missing
7715464d8bb78cd50b88fdde,us_core_cpi,2015-02,2015-03-02T13:30:00Z,240.083,,missing
3b605763d7915a4c7dc9b15a,us_core_cpi,2015-01,2015-02-01T13:30:00Z,239.248,,missing
9079d31bf4fc70faa8d73278,us_core_cpi,2014-12,2015-01-12T13:30:00Z,238.775,,missing
b09f8db00b45f1dd4ad13c8c,us_core_cpi,2014-11,2014-12-11T13:30:00Z,239.248,,missing
df303bdb5bd54e8a63d9d03e,us_core_cpi,2014-10,2014-11-10T13:30:00Z,239.413,,missing
