position_key,updated_at_utc,updated_at_china,address,entity,asset_symbol,side,szi_abs,position_value_usd,entry_px,liquidation_px,mark_px,liquidation_distance_pct,near_liquidation,unrealized_pnl,return_on_equity,above_threshold
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8458998.07,72930.1,103016.5697363894,73376.00000000,0.403955,false,-51395.23876,-0.1222589596,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34974203.54,76687.8,62126.1456422692,73413.00000000,0.153745,false,-1560135.3337699999,-0.2135162948,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79592000.00,2265.44,1355.8797701431,1989.80000000,0.318585,false,-11025764.9732089993,-2.4334665452,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34390158.46,75280.1,211564.2400390905,73415.00000000,1.881758,false,873687.9429500001,0.247757415,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6800.48,1.7575,15925.3993103765,1.81380000,8779.129733,false,-211.08559,-0.160170697,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,103311698.97,45.3701,90.0945687435,57.14600000,0.576568,false,-21289028.4285899997,-1.2977526998,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,729857.95,18.9744,1192.0090909831,15.29200000,76.949849,false,175758.38206,0.5822279548,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,718355.19,1.195291,94.888709174,1.13070000,82.920323,false,41036.2729,0.1621150937,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78863917.85,38.6755,49.0716440006,57.14600000,0.141293,false,25489987.8016120009,2.3878687385,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T09:37:37Z,2026-05-28 17:37:37 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8463263.54,72930.1,103016.5697363894,73413.00000000,0.403247,false,-55660.70606,-0.1324056504,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34997070.90,76687.8,62126.1456422692,73461.00000000,0.154298,false,-1537267.97009,-0.2103867235,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79688000.00,2265.44,1355.8797701431,1992.20000000,0.319406,false,-10929764.9732089993,-2.4122786468,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34411706.47,75280.1,210894.3706525139,73461.00000000,1.870834,false,852139.93111,0.2416469041,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6801.61,1.7575,15843.0739181176,1.81410000,8732.296907,false,-212.21038,-0.1610241821,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,103597340.11,45.3701,90.0818340244,57.30400000,0.571999,false,-21574669.565990001,-1.3151650283,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,731862.53,18.9744,1185.9535131618,15.33400000,76.341432,false,173753.80228,0.5755874614,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,720070.55,1.195291,94.4055687272,1.13340000,82.294132,false,39320.9116,0.1553385046,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,79081964.59,38.6755,49.0716440006,57.30400000,0.143661,false,25708034.5418919995,2.4082950721,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T09:45:12Z,2026-05-28 17:45:12 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8468797.12,72930.1,103016.5697363894,73461.00000000,0.402330,false,-61194.28526,-0.1455689249,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,35028513.53,76687.8,62126.1456422692,73527.00000000,0.155057,false,-1505825.34503,-0.206083563,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79756000.00,2265.44,1355.8797701431,1993.90000000,0.319986,false,-10861764.9732089993,-2.3972705521,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34442623.19,75280.1,210765.9031075488,73527.00000000,1.866510,false,821223.21847,0.2328796493,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6791.86,1.7575,15820.7074786983,1.81150000,8732.484669,false,-202.4622,-0.1536273115,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,103653383.63,45.3701,90.0664535501,57.33500000,0.570881,false,-21630713.0802900009,-1.3185813713,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,731528.44,18.9744,1184.2900922959,15.32700000,76.268226,false,174087.89891,0.5766942103,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,719244.64,1.195291,94.2722890662,1.13210000,82.272051,false,40146.8263,0.1586013068,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,79124745.91,38.6755,49.0716440006,57.33500000,0.144124,false,25750815.864351999,2.4123027705,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T09:49:13Z,2026-05-28 17:49:13 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8476405.79,72930.1,103016.5697363894,73527.00000000,0.401071,false,-68802.95666,-0.1636684273,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34961340.65,76687.8,62127.0765663182,73386.00000000,0.153421,false,-1572998.22584,-0.2152766787,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79652000.00,2265.44,1355.8657943874,1991.30000000,0.319105,false,-10965764.9732089993,-2.4202241087,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34376573.85,75280.1,212318.6553147162,73386.00000000,1.893177,false,887272.55911,0.2516096937,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6756.24,1.7575,16015.481568573,1.80200000,8886.614633,false,-166.84385,-0.1266002845,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,102975437.89,45.3701,90.095413145,56.96000000,0.581731,false,-20952767.3427900001,-1.2772546421,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,743078.63,18.9744,1198.9590060415,15.56900000,76.009378,false,162537.70113,0.5384323194,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,718037.53,1.195291,95.4198911187,1.13020000,83.427439,false,41353.9324,0.1633700176,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78607229.91,38.6755,49.0724420284,56.96000000,0.138475,false,25233299.8668520004,2.3638225483,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T10:34:52Z,2026-05-28 18:34:52 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8460150.90,72930.1,103017.4776746531,73386.00000000,0.403776,false,-52548.06776,-0.1250013085,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,35037088.79,76687.8,62127.0765663182,73545.00000000,0.155251,false,-1497250.0836499999,-0.2049099737,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79736000.00,2265.44,1355.8657943874,1993.40000000,0.319823,false,-10881764.9732089993,-2.4016846976,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34453397.19,75280.1,212620.0725978036,73550.00000000,1.890824,false,810449.2125500001,0.2298243939,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6745.37,1.7575,16031.2819221571,1.79910000,8909.723096,false,-155.97088,-0.1183499289,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,102847080.16,45.3701,90.0571871421,56.88900000,0.583033,false,-20824409.616489999,-1.2694301148,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,745417.31,18.9744,1200.1784885253,15.61800000,75.845850,false,160199.02472,0.530685077,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,714289.15,1.195291,95.5072523692,1.12430000,83.948192,false,45102.3145,0.1781781196,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78509246.88,38.6755,49.0724420284,56.88900000,0.137400,false,25135316.8379920013,2.3546436262,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T10:48:08Z,2026-05-28 18:48:08 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8478480.88,72930.1,103017.4776746531,73545.00000000,0.400741,false,-70878.04886,-0.1686046553,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34948001.35,76687.8,62127.0765663182,73358.00000000,0.153097,false,-1586337.5213200001,-0.2171022619,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79544000.00,2265.44,1355.8657943874,1988.60000000,0.318181,false,-11073764.9732089993,-2.4440604944,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34362989.23,75280.1,213130.438396676,73357.00000000,1.905387,false,900857.17527,0.2554619723,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6712.75,1.7575,16112.1613714364,1.79040000,8998.196476,false,-123.35197,-0.093598862,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,102633753.24,45.3701,90.1069397578,56.77100000,0.587200,false,-20611082.6910899989,-1.2564259707,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,742028.62,18.9744,1206.0985642381,15.54700000,76.577575,false,163587.71911,0.5419106731,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,711874.94,1.195291,95.9808069823,1.12050000,84.658909,false,47516.5267,0.1877155413,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78346401.85,38.6755,49.0724420284,56.77100000,0.135607,false,24972471.8041119985,2.3393885163,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T10:54:08Z,2026-05-28 18:54:08 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8456922.98,72930.1,103017.4776746531,73358.00000000,0.404311,false,-49320.14656,-0.1173227317,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34958958.63,76687.8,62128.0057055571,73381.00000000,0.153350,false,-1575380.2428900001,-0.2156026757,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79564000.00,2265.44,1355.8556728904,1989.10000000,0.318357,false,-11053764.9732089993,-2.4396463489,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34374231.67,75280.1,212817.9909757117,73381.00000000,1.900178,false,889614.73431,0.2522738796,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6678.25,1.7575,16073.4608076101,1.78120000,9022.950599,false,-88.85841,-0.0674253201,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,102781997.37,45.3701,90.1086971088,56.85300000,0.584942,false,-20759326.8256900012,-1.2654627488,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,740692.23,18.9744,1203.2047979816,15.51900000,76.531078,false,164924.10563,0.5463376688,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T11:06:59Z,2026-05-28 19:06:59 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,700312.13,1.195291,95.7342695671,1.10230000,85.849560,false,59079.3325,0.2333947712,false
